energy,attenlength
30.0000,0.230161
30.4173,0.232769
30.8405,0.235406
31.2695,0.238046
31.7045,0.240306
32.1456,0.241607
32.5928,0.242809
33.0462,0.244016
33.5059,0.245229
33.9720,0.246449
34.4446,0.247674
34.9238,0.248906
35.4096,0.250144
35.9022,0.251388
36.4017,0.252638
36.9081,0.253894
37.4215,0.255157
37.9421,0.256425
38.4699,0.257700
39.0051,0.258982
39.5477,0.260725
40.0979,0.263188
40.6557,0.266008
41.2213,0.268859
41.7947,0.271741
42.3761,0.274653
42.9656,0.277597
43.5634,0.280572
44.1694,0.283579
44.7838,0.286619
45.4068,0.289690
46.0385,0.292858
46.6790,0.296337
47.3283,0.300012
47.9867,0.303733
48.6543,0.307499
49.3312,0.311313
50.0174,0.315174
50.7132,0.319082
51.4187,0.323039
52.1340,0.327045
52.8593,0.330646
53.5946,0.333297
54.3402,0.335635
55.0962,0.337990
55.8626,0.340362
56.6397,0.342750
57.4277,0.345155
58.2266,0.347577
59.0366,0.350015
59.8579,0.349980
60.6906,0.348135
61.5349,0.346032
62.3909,0.343942
63.2588,0.341864
64.1389,0.339798
65.0311,0.338003
65.9358,0.339010
66.8531,0.341563
67.7831,0.344135
68.7260,0.346727
69.6821,0.349338
70.6515,0.356642
71.6343,0.368503
72.6309,0.381664
73.6413,0.395295
74.6657,0.411525
75.7044,0.433514
76.7576,0.461154
77.8254,0.490558
78.9080,0.521554
80.0058,0.539901
81.1188,0.552694
82.2472,0.565791
83.3914,0.579034
84.5515,0.591218
85.7277,0.591218
86.9203,0.591218
88.1295,0.591218
89.3555,0.591218
90.5986,0.590550
91.8589,0.588104
93.1368,0.583214
94.4324,0.578363
95.7461,0.573552
97.0781,0.567375
98.4286,0.556415
99.7979,0.237843
101.186,5.629973E-02
102.594,7.533887E-02
104.021,8.946104E-02
105.468,8.519970E-02
106.935,6.871174E-02
108.423,6.363188E-02
109.931,6.157479E-02
111.461,5.698520E-02
113.011,5.429867E-02
114.583,5.157596E-02
116.177,4.738668E-02
117.793,4.383053E-02
119.432,4.248013E-02
121.094,4.149796E-02
122.778,4.091420E-02
124.486,4.063778E-02
126.218,4.054620E-02
127.974,4.022108E-02
129.754,3.959725E-02
131.559,3.887893E-02
133.389,3.903858E-02
135.245,4.109415E-02
137.126,4.317622E-02
139.034,4.384120E-02
140.968,4.393887E-02
142.929,4.462122E-02
144.918,4.411343E-02
146.934,4.382110E-02
148.978,4.392866E-02
151.050,4.387074E-02
153.152,4.375640E-02
155.282,4.614802E-02
157.442,4.604459E-02
159.632,4.542220E-02
161.853,4.458463E-02
164.105,4.396021E-02
166.388,4.406068E-02
168.702,4.416473E-02
171.049,4.534796E-02
173.429,4.766097E-02
175.841,5.113646E-02
178.288,5.345685E-02
180.768,5.463934E-02
183.283,5.578879E-02
185.832,5.696241E-02
188.418,5.817304E-02
191.039,5.945520E-02
193.696,6.077515E-02
196.391,6.212444E-02
199.123,6.350376E-02
201.893,6.490020E-02
204.702,6.626482E-02
207.549,6.761292E-02
210.437,6.898838E-02
213.364,7.039186E-02
216.332,7.182394E-02
219.342,7.330701E-02
222.393,7.492623E-02
225.487,7.683846E-02
228.624,7.879970E-02
231.804,8.081103E-02
235.029,8.287372E-02
238.298,8.498885E-02
241.614,8.715789E-02
244.975,8.938246E-02
248.383,9.167903E-02
251.838,9.420092E-02
255.341,9.682019E-02
258.894,9.951492E-02
262.495,0.102285
266.147,0.105131
269.849,0.108058
273.603,0.111065
277.409,0.114156
281.269,0.117333
285.181,0.120599
289.149,0.123955
293.171,0.127405
297.250,0.130982
301.385,0.134741
305.577,0.138679
309.828,0.142733
314.139,0.146905
318.509,0.151199
322.940,0.155618
327.432,0.160167
331.987,0.164848
336.606,0.169667
341.288,0.174626
346.036,0.179731
350.850,0.184984
355.731,0.190391
360.679,0.195956
365.697,0.201828
370.784,0.208440
375.942,0.215452
381.172,0.222699
386.475,0.230190
391.851,0.237933
397.302,0.245937
402.830,0.254210
408.433,0.262762
414.115,0.271601
419.876,0.280737
425.717,0.290181
431.640,0.299942
437.644,0.310031
443.733,0.320460
449.905,0.331240
456.164,0.342383
462.510,0.354006
468.944,0.366398
475.468,0.379322
482.082,0.392703
488.789,0.406556
495.589,0.420897
502.483,0.435744
509.473,0.451116
516.561,0.467029
523.747,0.483503
531.033,0.500559
538.420,0.518217
545.910,0.536497
553.505,0.555423
561.205,0.575016
569.012,0.595300
576.928,0.616300
584.953,0.638476
593.091,0.662046
601.342,0.686839
609.707,0.712560
618.189,0.739246
626.789,0.766929
635.508,0.795650
644.349,0.825446
653.313,0.856356
662.401,0.888427
671.616,0.921700
680.960,0.956213
690.433,0.992022
700.037,1.02797
709.776,1.06434
719.650,1.10165
729.661,1.14027
739.812,1.18024
750.104,1.22162
760.539,1.26445
771.119,1.30878
781.846,1.35466
792.723,1.40263
803.751,1.45371
814.932,1.50862
826.269,1.56560
837.763,1.62475
849.418,1.68613
861.234,1.74982
873.215,1.81592
885.363,1.88452
897.680,1.95643
910.167,2.03454
922.829,2.11828
935.667,2.20546
948.683,2.29624
961.881,2.39075
975.262,2.48915
988.829,2.59164
1002.59,2.69842
1016.53,2.80972
1030.67,2.92566
1045.01,3.04635
1059.55,3.17204
1074.29,3.30292
1089.23,3.43734
1104.39,3.57068
1119.75,3.70366
1135.33,3.84174
1151.12,3.98500
1167.14,4.13360
1183.37,4.28776
1199.83,4.44782
1216.53,4.61412
1233.45,4.78685
1250.61,4.96606
1268.01,5.15194
1285.65,5.34479
1303.53,5.54546
1321.66,5.75438
1340.05,5.97124
1358.69,6.19643
1377.59,6.43003
1396.76,6.67297
1416.19,6.92554
1435.89,7.18804
1455.87,7.46071
1476.12,7.74377
1496.65,8.03783
1517.47,8.35226
1538.58,8.67962
1559.99,9.02037
1581.69,9.37461
1603.69,9.74269
1626.00,10.1253
1648.62,10.5231
1671.56,10.9364
1694.81,11.3659
1718.39,11.8122
1742.29,12.2839
1766.53,12.7819
1791.11,13.3026
1816.02,13.8468
1841.29,1.27085
1866.90,1.31356
1892.87,1.35769
1919.20,1.40332
1945.90,1.45050
1972.97,1.49927
2000.42,1.54979
2028.25,1.60220
2056.47,1.65652
2085.07,1.71291
2114.08,1.77233
2143.49,1.83404
2173.31,1.89817
2203.54,1.96489
2234.20,2.03420
2265.28,2.10619
2296.79,2.18105
2328.74,2.25890
2361.14,2.33978
2393.98,2.42398
2427.29,2.51145
2461.05,2.60237
2495.29,2.69693
2530.00,2.79521
2565.20,2.89726
2600.89,3.00360
2637.07,3.11407
2673.75,3.22884
2710.95,3.34830
2748.66,3.47256
2786.90,3.60165
2825.67,3.73586
2864.98,3.87553
2904.83,4.02073
2945.24,4.17183
2986.22,4.32891
3027.76,4.49222
3069.88,4.66209
3112.59,4.83881
3155.89,5.02246
3199.79,5.21371
3244.30,5.41258
3289.44,5.61935
3335.20,5.83452
3381.59,6.05843
3428.64,6.29118
3476.33,6.53336
3524.69,6.78543
3573.73,7.04748
3623.44,7.32028
3673.85,7.60413
3724.96,7.89933
3776.78,8.20642
3829.32,8.52621
3882.59,8.85874
3936.60,9.20490
3991.36,9.56513
4046.89,9.93987
4103.19,10.3298
4160.27,10.7358
4218.14,11.1580
4276.82,11.5975
4336.32,12.0551
4396.64,12.5312
4457.81,13.0267
4519.82,13.5426
4582.70,14.0794
4646.45,14.6381
4711.09,15.2201
4776.63,15.8256
4843.08,16.4557
4910.45,17.1116
4978.76,17.7943
5048.02,18.5051
