Si Density=2.33,Thickness=0.2 microns
energy,transmission
30.000,0.41940    
30.418,0.42351    
30.842,0.42762    
31.272,0.43167    
31.708,0.43510    
32.150,0.43705    
32.598,0.43884    
33.053,0.44064    
33.513,0.44243    
33.980,0.44423    
34.454,0.44602    
34.934,0.44781    
35.421,0.44959    
35.915,0.45138    
36.416,0.45316    
36.923,0.45494    
37.438,0.45672    
37.960,0.45850    
38.489,0.46028    
39.026,0.46205    
39.570,0.46448    
40.121,0.46788    
40.680,0.47167    
41.248,0.47545    
41.822,0.47922    
42.405,0.48298    
42.997,0.48673    
43.596,0.49047    
44.204,0.49420    
44.820,0.49791    
45.445,0.50162    
46.078,0.50540    
46.720,0.50949    
47.372,0.51372    
48.032,0.51794    
48.701,0.52214    
49.380,0.52632    
50.069,0.53048    
50.767,0.53463    
51.474,0.53875    
52.192,0.54286    
52.919,0.54645    
53.657,0.54898    
54.405,0.55129    
55.163,0.55358    
55.932,0.55587    
56.712,0.55816    
57.502,0.56043    
58.304,0.56270    
59.117,0.56497    
59.941,0.56456    
60.776,0.56281    
61.624,0.56084    
62.483,0.55887    
63.353,0.55689    
64.237,0.55491    
65.132,0.55321    
66.040,0.55465    
66.960,0.55710    
67.894,0.55955    
68.840,0.56199    
69.800,0.56492    
70.773,0.57160    
71.759,0.58256    
72.760,0.59354    
73.774,0.60434    
74.802,0.61706    
75.845,0.63285    
76.902,0.65048    
77.974,0.66750    
79.061,0.68374    
80.163,0.69129    
81.281,0.69724    
82.414,0.70309    
83.562,0.70875    
84.727,0.71300    
85.908,0.71300    
87.106,0.71300    
88.320,0.71300    
89.551,0.71300    
90.799,0.71262    
92.065,0.71140    
93.348,0.70937    
94.650,0.70732    
95.969,0.70527    
97.307,0.70245    
98.663,0.69701    
100.04,0.21220    
101.43,0.28812E-01
102.85,0.80715E-01
104.28,0.11168    
105.73,0.83422E-01
107.21,0.52149E-01
108.70,0.42182E-01
110.22,0.37096E-01
111.75,0.28829E-01
113.31,0.24452E-01
114.89,0.19516E-01
116.49,0.13636E-01
118.12,0.99711E-02
119.76,0.88585E-02
121.43,0.78824E-02
123.13,0.74841E-02
124.84,0.73547E-02
126.58,0.71566E-02
128.35,0.68138E-02
130.14,0.62504E-02
131.95,0.58281E-02
133.79,0.62299E-02
135.65,0.82148E-02
137.54,0.10179E-01
139.46,0.10520E-01
141.41,0.10668E-01
143.38,0.11172E-01
145.38,0.10546E-01
147.40,0.10341E-01
149.46,0.10677E-01
151.54,0.99211E-02
153.65,0.11017E-01
155.79,0.13234E-01
157.97,0.12775E-01
160.17,0.12069E-01
162.40,0.11020E-01
164.66,0.10538E-01
166.96,0.11006E-01
169.29,0.10964E-01
171.65,0.12908E-01
174.04,0.16797E-01
176.47,0.21269E-01
178.93,0.24589E-01
181.42,0.26241E-01
183.95,0.28290E-01
186.51,0.30456E-01
189.11,0.32766E-01
191.75,0.35297E-01
194.42,0.37961E-01
197.13,0.40762E-01
199.88,0.43702E-01
202.67,0.46708E-01
205.49,0.49728E-01
208.36,0.52801E-01
211.26,0.55996E-01
214.20,0.59315E-01
217.19,0.62759E-01
220.22,0.66423E-01
223.29,0.70672E-01
226.40,0.75499E-01
229.56,0.80524E-01
